id,family,condition,length_tier,password,chunks
brainrot_01,brainrot,linked,short,ohiorizz,ohio|rizz
brainrot_01c,brainrot,control,short,ohiolamp,ohio|lamp
brainrot_02,brainrot,linked,short,skibidiohio,skibidi|ohio
brainrot_02c,brainrot,control,short,skibidilamp,skibidi|lamp
brainrot_03,brainrot,linked,short,fanumtax,fanum|tax
brainrot_03c,brainrot,control,short,fanumriver,fanum|river
brainrot_04,brainrot,linked,short,sigmamewing,sigma|mewing
brainrot_04c,brainrot,control,short,sigmapaper,sigma|paper
brainrot_05,brainrot,linked,short,rizzohio2026,rizz|ohio|2026
brainrot_05c,brainrot,control,short,rizzlamp2026,rizz|lamp|2026
brainrot_06,brainrot,linked,medium,skibiditoiletohio,skibidi|toilet|ohio
brainrot_06c,brainrot,control,medium,skibiditableohio,skibidi|table|ohio
brainrot_07,brainrot,linked,medium,looksmaxmewingsigma,looksmax|mewing|sigma
brainrot_07c,brainrot,control,medium,looksmaxgardensigma,looksmax|garden|sigma
brainrot_08,brainrot,linked,medium,fanumtaxrizz2026,fanum|tax|rizz|2026
brainrot_08c,brainrot,control,medium,fanumtaxriver2026,fanum|tax|river|2026
campus_01,campus,linked,short,uclabruin,ucla|bruin
campus_01c,campus,control,short,uclabicycle,ucla|bicycle
campus_02,campus,linked,short,UclaBruins26,ucla|bruins|26
campus_02c,campus,control,short,UclaBicycle26,ucla|bicycle|26
campus_03,campus,linked,short,westwooducla,westwood|ucla
campus_03c,campus,control,short,westwoodlamp,westwood|lamp
campus_04,campus,linked,short,cs180dp,cs180|dp
campus_04c,campus,control,short,cs180river,cs180|river
campus_05,campus,linked,short,cs180greedy,cs180|greedy
campus_05c,campus,control,short,cs180kettle,cs180|kettle
campus_06,campus,linked,short,ece202ccfi,ece202c|cfi
campus_06c,campus,control,short,ece202ctable,ece202c|table
campus_07,campus,linked,medium,uclawestwoodbruins,ucla|westwood|bruins
campus_07c,campus,control,medium,uclagardenbruins,ucla|garden|bruins
campus_08,campus,linked,medium,cs180dpgreedyfinal,cs180|dp|greedy|final
campus_08c,campus,control,medium,cs180dplanternfinal,cs180|dp|lantern|final
gaming_01,gaming,linked,short,jett-main,jett|main
gaming_01c,gaming,control,short,jett-paper,jett|paper
gaming_02,gaming,linked,short,valorantjett,valorant|jett
gaming_02c,gaming,control,medium,valorantkettle,valorant|kettle
gaming_03,gaming,linked,short,sagehealer,sage|healer
gaming_03c,gaming,control,short,sagelamp,sage|lamp
gaming_04,gaming,linked,medium,MinecraftCreeper,minecraft|creeper
gaming_04c,gaming,control,medium,MinecraftRiver,minecraft|river
gaming_05,gaming,linked,short,zeldalink,zelda|link
gaming_05c,gaming,control,short,zeldatable,zelda|table
gaming_06,gaming,linked,medium,hollowknighthornet,hollowknight|hornet
gaming_06c,gaming,control,medium,hollowknightcandle,hollowknight|candle
gaming_07,gaming,linked,medium,valorant_jett_duelist,valorant|jett|duelist
gaming_07c,gaming,control,medium,valorant_jett_lantern,valorant|jett|lantern
gaming_08,gaming,linked,long,hollowknightsilksonghornet,hollowknight|silksong|hornet
gaming_08c,gaming,control,long,hollowknightsilksongfolder,hollowknight|silksong|folder
gacha_anime_01,gacha_anime,linked,short,furinaarchon,furina|archon
gacha_anime_01c,gacha_anime,control,short,furinariver,furina|river
gacha_anime_02,gacha_anime,linked,short,genshinfurina,genshin|furina
gacha_anime_02c,gacha_anime,control,medium,genshinbicycle,genshin|bicycle
gacha_anime_03,gacha_anime,linked,medium,furinafontaine,furina|fontaine
gacha_anime_03c,gacha_anime,control,short,furinatable,furina|table
gacha_anime_04,gacha_anime,linked,short,fontainehydro,fontaine|hydro
gacha_anime_04c,gacha_anime,control,short,fontainepaper,fontaine|paper
gacha_anime_05,gacha_anime,linked,short,frierenfern,frieren|fern
gacha_anime_05c,gacha_anime,control,short,frierenkettle,frieren|kettle
gacha_anime_06,gacha_anime,linked,short,GojoDomain,gojo|domain
gacha_anime_06c,gacha_anime,control,short,GojoLamp,gojo|lamp
gacha_anime_07,gacha_anime,linked,medium,genshinfurinafontaine,genshin|furina|fontaine
gacha_anime_07c,gacha_anime,control,medium,genshinfurinamushroom,genshin|furina|mushroom
gacha_anime_08,gacha_anime,linked,long,genshinfurinafontainearchon,genshin|furina|fontaine|archon
gacha_anime_08c,gacha_anime,control,long,genshinfurinabicyclearchon,genshin|furina|bicycle|archon
tech_web_01,tech_web,linked,short,githubcommit,github|commit
tech_web_01c,tech_web,control,short,githubpaper,github|paper
tech_web_02,tech_web,linked,short,python-pip,python|pip
tech_web_02c,tech_web,control,short,python-river,python|river
tech_web_03,tech_web,linked,short,linuxkernel,linux|kernel
tech_web_03c,tech_web,control,short,linuxlamp,linux|lamp
tech_web_04,tech_web,linked,medium,dockercontainer,docker|container
tech_web_04c,tech_web,control,short,dockerbicycle,docker|bicycle
tech_web_05,tech_web,linked,medium,reactcomponent,react|component
tech_web_05c,tech_web,control,short,reacttable,react|table
tech_web_06,tech_web,linked,short,chatgptprompt,chatgpt|prompt
tech_web_06c,tech_web,control,short,chatgptcandle,chatgpt|candle
tech_web_07,tech_web,linked,medium,openaigptprompt,openai|gpt|prompt
tech_web_07c,tech_web,control,medium,openaigptfolder,openai|gpt|folder
public_culture_01,public_culture,linked,short,BatmanGotham,batman|gotham
public_culture_01c,public_culture,control,short,BatmanGarden,batman|garden
public_culture_02,public_culture,linked,medium,spidermanpeter,spiderman|peter
public_culture_02c,public_culture,control,medium,spidermanriver,spiderman|river
public_culture_03,public_culture,linked,medium,hogwartsgryffindor,hogwarts|gryffindor
public_culture_03c,public_culture,control,short,hogwartslamp,hogwarts|lamp
public_culture_04,public_culture,linked,short,starwarsjedi,starwars|jedi
public_culture_04c,public_culture,control,short,starwarstable,starwars|table
public_culture_05,public_culture,linked,short,marioluigi,mario|luigi
public_culture_05c,public_culture,control,short,mariokettle,mario|kettle
public_culture_06,public_culture,linked,medium,pokemonpikachu,pokemon|pikachu
public_culture_06c,public_culture,control,short,pokemonpaper,pokemon|paper
random_01,random,random,short,orbitlamp,orbit|lamp
random_02,random,random,short,river-paper,river|paper
random_03,random,random,short,moonladder26,moon|ladder|26
random_04,random,random,short,coffeeorbit7,coffee|orbit|7
random_05,random,random,medium,bluecoffeeorbit,blue|coffee|orbit
random_06,random,random,short,p9qzmoon77,p9qz|moon|77
random_07,random,random,medium,silverfoldercloud,silver|folder|cloud
random_08,random,random,medium,gardenpillow42,garden|pillow|42
random_09,random,random,medium,windowbridgecoffee8,window|bridge|coffee|8
random_10,random,random,long,CandleMushroomOrbit2026,candle|mushroom|orbit|2026
