password_id,family,condition,group_id,password,chunks,known_prefix_chunks,expected_structural_label,use_for_continuation_dp
E2_001,gaming,linked,gaming_01,valorantjett,valorant|jett,1,yes,True
E2_002,gaming,control,gaming_01,valorantkettle,valorant|kettle,1,uncertain,True
E2_003,gaming,linked,gaming_02,minecraftcreeper,minecraft|creeper,1,yes,True
E2_004,gaming,control,gaming_02,minecraftcurtain,minecraft|curtain,1,uncertain,True
E2_005,gaming,linked,gaming_03,zeldahyrule,zelda|hyrule,1,yes,True
E2_006,gaming,control,gaming_03,zeldahandle,zelda|handle,1,uncertain,True
E2_007,gaming,linked,gaming_04,marioluigi,mario|luigi,1,yes,True
E2_008,gaming,control,gaming_04,marioladder,mario|ladder,1,uncertain,True
E2_009,gaming,linked,gaming_05,fortnitebattlebus,fortnite|battlebus,1,yes,True
E2_010,gaming,control,gaming_05,fortnitebookshelf,fortnite|bookshelf,1,uncertain,True
E2_011,tech_web,linked,tech_web_06,dockercontainer,docker|container,1,yes,True
E2_012,tech_web,control,tech_web_06,dockerbicycle,docker|bicycle,1,uncertain,True
E2_013,tech_web,linked,tech_web_07,kubernetespod,kubernetes|pod,1,yes,True
E2_014,tech_web,control,tech_web_07,kubernetespillow,kubernetes|pillow,1,uncertain,True
E2_015,tech_web,linked,tech_web_08,pythonpip,python|pip,1,yes,True
E2_016,tech_web,control,tech_web_08,pythonpot,python|pot,1,uncertain,True
E2_017,tech_web,linked,tech_web_09,githubpullrequest,github|pullrequest,1,yes,True
E2_018,tech_web,control,tech_web_09,githubwateringcan,github|wateringcan,1,uncertain,True
E2_019,tech_web,linked,tech_web_10,reactcomponent,react|component,1,yes,True
E2_020,tech_web,control,tech_web_10,reactumbrella,react|umbrella,1,uncertain,True
E2_021,public_culture,linked,public_culture_11,pokemonpikachu,pokemon|pikachu,1,yes,True
E2_022,public_culture,control,public_culture_11,pokemonpaper,pokemon|paper,1,uncertain,True
E2_023,public_culture,linked,public_culture_12,starwarsjedi,starwars|jedi,1,yes,True
E2_024,public_culture,control,public_culture_12,starwarsjacket,starwars|jacket,1,uncertain,True
E2_025,public_culture,linked,public_culture_13,marvelspiderman,marvel|spiderman,1,yes,True
E2_026,public_culture,control,public_culture_13,marvelspatula,marvel|spatula,1,uncertain,True
E2_027,public_culture,linked,public_culture_14,hogwartsgryffindor,hogwarts|gryffindor,1,yes,True
E2_028,public_culture,control,public_culture_14,hogwartsgreenhouse,hogwarts|greenhouse,1,uncertain,True
E2_029,public_culture,linked,public_culture_15,avatarairbender,avatar|airbender,1,yes,True
E2_030,public_culture,control,public_culture_15,avatarapricot,avatar|apricot,1,uncertain,True
E2_031,campus,linked,campus_16,uclabruins,ucla|bruins,1,yes,True
E2_032,campus,control,campus_16,uclabicycle,ucla|bicycle,1,uncertain,True
E2_033,campus,linked,campus_17,usctrojans,usc|trojans,1,yes,True
E2_034,campus,control,campus_17,uscteacup,usc|teacup,1,uncertain,True
E2_035,campus,linked,campus_18,mitbeaver,mit|beaver,1,yes,True
E2_036,campus,control,campus_18,mitbinder,mit|binder,1,uncertain,True
E2_037,campus,linked,campus_19,stanfordcardinal,stanford|cardinal,1,yes,True
E2_038,campus,control,campus_19,stanfordcabinet,stanford|cabinet,1,uncertain,True
E2_039,campus,linked,campus_20,berkeleybears,berkeley|bears,1,yes,True
E2_040,campus,control,campus_20,berkeleybatteries,berkeley|batteries,1,uncertain,True
E2_041,gacha_anime,linked,gacha_anime_21,genshinfurina,genshin|furina,1,yes,True
E2_042,gacha_anime,control,gacha_anime_21,genshinfaucet,genshin|faucet,1,uncertain,True
E2_043,gacha_anime,linked,gacha_anime_22,honkaikafka,honkai|kafka,1,yes,True
E2_044,gacha_anime,control,gacha_anime_22,honkaikettle,honkai|kettle,1,uncertain,True
E2_045,gacha_anime,linked,gacha_anime_23,narutohokage,naruto|hokage,1,yes,True
