password_id,family,condition,length_tier,password,chunks,known_prefix,target_remainder,full_password_from_chunks,zxcvbn_score,zxcvbn_guesses_log10,zxcvbn_feedback_warning,model_alias,model_id,llm_remainder_log10,llm_remainder_logprob,dp_status,num_states_expanded,num_finished_paths,num_pruned_paths,truncated,no_valid_at,template,template_string,beam_per_index,max_valid_tokens_per_state,model_runtime_s_total
brainrot_01,brainrot,linked,short,ohiorizz,ohio|rizz,ohio,rizz,ohiorizz,2,7.255513712819532,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,7.641001012852641,-17.594055027746897,ok,8,7,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_01c,brainrot,control,short,ohiolamp,ohio|lamp,ohio,lamp,ohiolamp,2,6.645952531517817,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,6.11329780363357,-14.076388391679899,ok,8,8,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_02,brainrot,linked,short,skibidiohio,skibidi|ohio,skibidi,ohio,skibidiohio,4,10.255272746377951,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,6.689152828107208,-15.40234358675862,ok,7,5,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_02c,brainrot,control,short,skibidilamp,skibidi|lamp,skibidi,lamp,skibidilamp,4,10.690727632393488,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,7.911316748664066,-18.216480011428,ok,8,8,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_03,brainrot,linked,short,fanumtax,fanum|tax,fanum,tax,fanumtax,2,8.000000004342944,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,4.874192011465478,-11.223241865991074,ok,4,4,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_03c,brainrot,control,short,fanumriver,fanum|river,fanum,river,fanumriver,2,7.477265995424852,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,4.8696358802968716,-11.212750986280515,ok,16,16,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_04,brainrot,linked,short,sigmamewing,sigma|mewing,sigma,mewing,sigmamewing,3,8.485592879000539,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,11.190180775971193,-25.766343442659814,ok,22,21,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_04c,brainrot,control,short,sigmapaper,sigma|paper,sigma,paper,sigmapaper,2,6.717751696832335,This is similar to a commonly used password.,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,6.6296771334417475,-15.265395738826466,ok,13,13,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_05,brainrot,linked,short,rizzohio2026,rizz|ohio|2026,rizz,ohio2026,rizzohio2026,4,10.673205373946795,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,10.798833467504027,-24.865232963999976,ok,27,5,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_05c,brainrot,control,short,rizzlamp2026,rizz|lamp|2026,rizz,lamp2026,rizzlamp2026,4,12.000000000000433,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,10.353595677780438,-23.84003506654482,ok,40,8,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_06,brainrot,linked,medium,skibiditoiletohio,skibidi|toilet|ohio,skibidi,toiletohio,skibiditoiletohio,4,13.911946082898572,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,16.72123228543448,-38.50206019693219,ok,290,190,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_06c,brainrot,control,medium,skibiditableohio,skibidi|table|ohio,skibidi,tableohio,skibiditableohio,4,13.500292748277525,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,14.509661440105644,-33.409730136377775,ok,176,116,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_07,brainrot,linked,medium,looksmaxmewingsigma,looksmax|mewing|sigma,looksmax,mewingsigma,looksmaxmewingsigma,4,14.31891222532238,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,12.213392774544678,-28.122376137547764,ok,441,364,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_07c,brainrot,control,medium,looksmaxgardensigma,looksmax|garden|sigma,looksmax,gardensigma,looksmaxgardensigma,4,12.882190290460683,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,9.61151878695899,-22.13133987988399,ok,651,512,25,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_08,brainrot,linked,medium,fanumtaxrizz2026,fanum|tax|rizz|2026,fanum,taxrizz2026,fanumtaxrizz2026,4,16.0,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,16.994867617900606,-39.13212883438517,ok,188,36,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
brainrot_08c,brainrot,control,medium,fanumtaxriver2026,fanum|tax|river|2026,fanum,taxriver2026,fanumtaxriver2026,4,14.817565435662434,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,14.98643280395649,-34.50753677154717,ok,404,80,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_01,campus,linked,short,uclabruin,ucla|bruin,ucla,bruin,uclabruin,3,8.065250975426972,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,7.33668496834503,-16.89334144010476,ok,14,12,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_01c,campus,control,short,uclabicycle,ucla|bicycle,ucla,bicycle,uclabicycle,2,7.228517386836888,This is similar to a commonly used password.,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,9.557916802274937,-22.00791674899559,ok,50,49,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_02,campus,linked,short,UclaBruins26,ucla|bruins|26,ucla,bruins26,uclabruins26,3,9.95748545683548,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,10.423798008539173,-24.00168190684332,ok,70,22,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_02c,campus,control,short,UclaBicycle26,ucla|bicycle|26,ucla,bicycle26,uclabicycle26,4,10.309576345637545,,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,12.486456248373107,-28.75112802182628,ok,148,49,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_03,campus,linked,short,westwooducla,westwood|ucla,westwood,ucla,westwooducla,2,7.346304455960586,This is similar to a commonly used password.,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,6.187212395346252,-14.246583028712264,ok,7,6,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
campus_03c,campus,control,short,westwoodlamp,westwood|lamp,westwood,lamp,westwoodlamp,2,7.104703931279857,This is similar to a commonly used password.,qwen25_1p5b,Qwen/Qwen2.5-1.5B-Instruct,4.75730777130606,-10.954105956994061,ok,8,8,0,False,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},512,512,40.561963758000275
