password_id,family,condition,length_tier,password,chunks,known_prefix,target_remainder,full_password_from_chunks,zxcvbn_score,zxcvbn_guesses_log10,zxcvbn_feedback_warning,qwen25_1p5b_llm_remainder_log10,qwen25_1p5b_dp_status,qwen25_1p5b_states_expanded,qwen25_1p5b_finished_paths,qwen25_1p5b_pruned_paths,qwen25_1p5b_truncated,mistral7b_v03_llm_remainder_log10,mistral7b_v03_dp_status,mistral7b_v03_states_expanded,mistral7b_v03_finished_paths,mistral7b_v03_pruned_paths,mistral7b_v03_truncated,best_llm_remainder_log10,best_model_alias,uniform_mixture_llm_remainder_log10,best_plus_log10M_llm_remainder_log10,model_log10_gap_abs,model_log10_gap_signed
brainrot_01,brainrot,linked,short,ohiorizz,ohio|rizz,ohio,rizz,ohiorizz,2,7.255513712819532,,7.641001012852641,ok,8,7,0,False,7.652720200589616,ok,55,134,0,False,7.641001012852641,qwen25_1p5b,7.646821078474666,7.942031008516622,0.011719187736975556,-0.011719187736975556
brainrot_01c,brainrot,control,short,ohiolamp,ohio|lamp,ohio,lamp,ohiolamp,2,6.645952531517817,,6.11329780363357,ok,8,8,0,False,6.67902660823131,ok,55,146,0,False,6.11329780363357,qwen25_1p5b,6.309904331798806,6.414327799297551,0.5657288045977404,-0.5657288045977404
brainrot_02,brainrot,linked,short,skibidiohio,skibidi|ohio,skibidi,ohio,skibidiohio,4,10.255272746377951,,6.689152828107208,ok,7,5,0,False,6.382937354600223,ok,54,139,0,False,6.382937354600223,mistral7b_v03,6.509597713573771,6.683967350264204,0.30621547350698464,0.30621547350698464
brainrot_02c,brainrot,control,short,skibidilamp,skibidi|lamp,skibidi,lamp,skibidilamp,4,10.690727632393488,,7.911316748664066,ok,8,8,0,False,5.301885929681762,ok,55,146,0,False,5.301885929681762,mistral7b_v03,5.601849770449265,5.6029159253457435,2.609430818982304,2.609430818982304
brainrot_03,brainrot,linked,short,fanumtax,fanum|tax,fanum,tax,fanumtax,2,8.000000004342944,,4.874192011465478,ok,4,4,0,False,4.724019192561607,ok,15,41,0,False,4.724019192561607,mistral7b_v03,4.7926467328573175,5.025049188225588,0.15017281890387135,0.15017281890387135
brainrot_03c,brainrot,control,short,fanumriver,fanum|river,fanum,river,fanumriver,2,7.477265995424852,,4.8696358802968716,ok,16,16,0,False,4.950188443457536,ok,205,512,44,True,4.8696358802968716,qwen25_1p5b,4.908047230417034,5.170665875960853,0.08055256316066473,-0.08055256316066473
brainrot_04,brainrot,linked,short,sigmamewing,sigma|mewing,sigma,mewing,sigmamewing,3,8.485592879000539,,11.190180775971193,ok,22,21,0,False,8.355105361524721,ok,621,512,1173,True,8.355105361524721,mistral7b_v03,8.655500915609528,8.656135357188703,2.8350754144464716,2.8350754144464716
brainrot_04c,brainrot,control,short,sigmapaper,sigma|paper,sigma,paper,sigmapaper,2,6.717751696832335,This is similar to a commonly used password.,6.6296771334417475,ok,13,13,0,False,6.322679288435462,ok,200,512,30,True,6.322679288435462,mistral7b_v03,6.449598210219109,6.623709284099443,0.30699784500628535,0.30699784500628535
brainrot_05,brainrot,linked,short,rizzohio2026,rizz|ohio|2026,rizz,ohio2026,rizzohio2026,4,10.673205373946795,,10.798833467504027,ok,27,5,0,False,12.179002636480698,ok,1495,512,1068,True,10.798833467504027,qwen25_1p5b,11.08213301321992,11.099863463168008,1.3801691689766713,-1.3801691689766713
brainrot_05c,brainrot,control,short,rizzlamp2026,rizz|lamp|2026,rizz,lamp2026,rizzlamp2026,4,12.000000000000433,,10.353595677780438,ok,40,8,0,False,10.994413176645091,ok,1517,512,1096,True,10.353595677780438,qwen25_1p5b,10.565195386372682,10.65462567344442,0.6408174988646529,-0.6408174988646529
brainrot_06,brainrot,linked,medium,skibiditoiletohio,skibidi|toilet|ohio,skibidi,toiletohio,skibiditoiletohio,4,13.911946082898572,,16.72123228543448,ok,290,190,0,False,11.373999978552213,ok,2715,512,9543,True,11.373999978552213,mistral7b_v03,11.675028021896082,11.675029974216194,5.347232306882265,5.347232306882265
brainrot_06c,brainrot,control,medium,skibiditableohio,skibidi|table|ohio,skibidi,tableohio,skibiditableohio,4,13.500292748277525,,14.509661440105644,ok,176,116,0,False,12.325820973896661,ok,2252,512,7212,True,12.325820973896661,mistral7b_v03,12.62401614841563,12.626850969560643,2.1838404662089825,2.1838404662089825
brainrot_07,brainrot,linked,medium,looksmaxmewingsigma,looksmax|mewing|sigma,looksmax,mewingsigma,looksmaxmewingsigma,4,14.31891222532238,,12.213392774544678,ok,441,364,0,False,12.036796407973872,ok,3181,512,11911,True,12.036796407973872,mistral7b_v03,12.116179626536997,12.337826403637854,0.17659636657080569,0.17659636657080569
brainrot_07c,brainrot,control,medium,looksmaxgardensigma,looksmax|garden|sigma,looksmax,gardensigma,looksmaxgardensigma,4,12.882190290460683,,9.61151878695899,ok,651,512,25,True,10.524053939399554,ok,3253,512,12903,True,9.61151878695899,qwen25_1p5b,9.862435636023475,9.912548782622972,0.9125351524405634,-0.9125351524405634
brainrot_08,brainrot,linked,medium,fanumtaxrizz2026,fanum|tax|rizz|2026,fanum,taxrizz2026,fanumtaxrizz2026,4,16.0,,16.994867617900606,ok,188,36,0,False,16.62043100338587,ok,3190,512,4774,True,16.62043100338587,mistral7b_v03,16.768486918911695,16.921460999049852,0.3744366145147353,0.3744366145147353
brainrot_08c,brainrot,control,medium,fanumtaxriver2026,fanum|tax|river|2026,fanum,taxriver2026,fanumtaxriver2026,4,14.817565435662434,,14.98643280395649,ok,404,80,0,False,14.580965000576692,ok,3702,512,8462,True,14.580965000576692,mistral7b_v03,14.73800447758512,14.881994996240673,0.40546780337979804,0.40546780337979804
